Usable;Table;Short description as found in DB;Owner;Extra explanation as given by expert;Shared;Status;Comments
y;ADETS;Indiv.Customer Account Maint. ;Account Management;3-7-2 + currency + nature / used for GL;y;;
y;AEVTO;Acg.Event Transaction data (Accounting event real time) ;Account Management;real time - interfacing;y;;
y;AHLBO;Det. Acc. Ledger Balance ;Account Management;;;;
y;AHVBO;Detailed Account Value Balance ;Account Management;;;;
y;AMVTO;Detail Accounting Movements ;Account Management;;;;
y;ANTUS;Accounting Nature Code ;Account Management;;;;
y;ARESS;Indiv. Acc. Results History ;Account Management;;;;
y;ARETO;Indiv. Account General Param. ;Account Management;params when intr should be calculated;;;
y;ATAXO;Ind. Acc. Tax Cdt. History ;Account Management;defines arrangments per account;;;
y;ATRDO;Acg.Transaction Data ;Account Management;interfacing;y;;
y;ATXCO;Tax Condition Maintenance ;Account Management;config of tax conditions against product code, condition and currency;;;
y;IINTO;Interest base rates ;Account Management;base rates (per product), calculated from the GMDB base rate(market rate);;;
y;AINTS;Account Interest Cond.Hist. ;Arragement Management;no history. Interest conditions per account;;;
y;DCPOO;SLAVE ACCOUNTS (CASH POOLING) ;Cash Management;;;;
y;DMSTO;MASTER ACCOUNTS (CASH POOLING) ;Cash Management;;;;
y;DSLVO;SLAVE ACCOUNTS (CASH POOLING) ;Cash Management;;;;
y;CSCOO;Security Composition ;Collateral Management;linked to a deal;;;
y;CSECS;Securities Maintenance part 1 ;Collateral Management;;;;
y;GBTDS;Batch Report Dest. Maintenance ;Core;techn. Linc scheduling;;;
y;GBTPS;Batch Report Param. Mainten. ;Core;techn. Linc scheduling;;;
y;GBTRO;Batch Report Run Conditions ;Core;techn. Linc scheduling;;;
y;GCNVO;Conversion Codes Structure ;Core;translation of codes to codes;;;
y;GMONO;security monitoring output ;Core;logging of events used for reporting, only used in IFS - sec monitoring;;;
y;GMSGS;ERROR TABLE ;Core;codes to text for operational user;;;
y;GPARO;Parameter Settings ;Core;eg. Certain clearing limits, sec classes, XFB destinations, routing for payments, trusted list of banks where we can auto exec MT101 msgs. Params can be changed by operational ppl;;;
y;GRTPO;Real Time Program Definition ;Core;techn list of real time progr definitions;y;;
