ADETS;Indiv.Customer Account Maint. ;Account Management
AEVTO;Acg.Event Transaction data (Accounting event real time) ;Account Management
AHLBO;Det. Acc. Ledger Balance ;Account Management
AHVBO;Detailed Account Value Balance ;Account Management
AMVTO;Detail Accounting Movements ;Account Management
ANTUS;Accounting Nature Code ;Account Management
ARESS;Indiv. Acc. Results History ;Account Management
ARETO;Indiv. Account General Param. ;Account Management
ATAXO;Ind. Acc. Tax Cdt. History ;Account Management
ATRDO;Acg.Transaction Data ;Account Management
ATXCO;Tax Condition Maintenance ;Account Management
IINTO;Interest base rates ;Account Management
AINTS;Account Interest Cond.Hist. ;Arragement Management
DCPOO;SLAVE ACCOUNTS (CASH POOLING) ;Cash Management
DMSTO;MASTER ACCOUNTS (CASH POOLING) ;Cash Management
DSLVO;SLAVE ACCOUNTS (CASH POOLING) ;Cash Management
CSCOO;Security Composition ;Collateral Management
CSECS;Securities Maintenance part 1 ;Collateral Management
GBTDS;Batch Report Dest. Maintenance ;Core
GBTPS;Batch Report Param. Mainten. ;Core
GBTRO;Batch Report Run Conditions ;Core
GCNVO;Conversion Codes Structure ;Core
GMONO;security monitoring output ;Core
GMSGS;ERROR TABLE ;Core
GPARO;Parameter Settings ;Core
GRTPO;Real Time Program Definition ;Core
GSBRO;Special Batch Run Conditions ;Core
GSEMO;Parameter Settings ;Core
GXMLO;xml storage ;Core
LPRCO;Pers.mmeber/RCE comb.structure ;Core
PRSNL;PERSONNEL INFORMATION ;Core
DBILO;Billing events for SEPA ;Customer Billing
DCTRO;CONDITIONS TRAILER RECORD ;Customer Billing
AADVO;Advices ;Customer Reporting
AISTO;Indiv.Account Interest Statem. ;Customer Reporting
ASPAS;Individual Acc.Statem.Param. ;Customer Reporting
ATMPO;Advices Temporary ;Customer Reporting
GPRTO;IFSPRINT TEXTS AND COMMANDS ;Customer Reporting
ABCLO;Global FX Limits per Currency ;Financial Markets
BASWO;Bond deal related asset swaps ;Financial Markets
BBOKS;BOND Position Book ;Financial Markets
BDLAO;Bond Accounting Status File ;Financial Markets
BDLPO;Payment Status File ;Financial Markets
BDLTO;Trailer Bond Deals ;Financial Markets
BICTO;Bond Coupons ;Financial Markets
BISPO;Bond Market Prices ;Financial Markets
BITTO;Bond Trading-deal Trailers ;Financial Markets
BPOTO;Bond Segments per Pos.Book ;Financial Markets
BPRDO;Positions Product Code File ;Financial Markets
BREDO;Redemption Dates & Conditions ;Financial Markets
BREPO;Bond Collateral/Cash-records ;Financial Markets
CEXRO;MT EXCHANGE RATE FILE ;Financial Markets
IBDDO;Brokerage Volume Discount -det ;Financial Markets
IBDHO;Brokerage Volume Discount-Head ;Financial Markets
ICBRO;Conv. Broker id-IFS broker id ;Financial Markets
ICVBS;Maint.conv.broker ctp-IFS ctp ;Financial Markets
IERBS;Exch Rates Brokerage Commiss. ;Financial Markets
IFASO;FRA Acctg Status file ;Financial Markets
IFCPO;Fin. Futures Closing Prices ;Financial Markets
IFFAO;Fin. Futures Accounting status ;Financial Markets
IFFCO;Financial Futures Contracts ;Financial Markets
IFFDO;Financial Futures Deals ;Financial Markets
IFFOO;Financial Futures Offset contr ;Financial Markets
IFFPO;Fin. Futures Payment status ;Financial Markets
IFFTO;Financial Futures Tenor Dates ;Financial Markets
IFFVO;Fin. Futures Variation Margin ;Financial Markets
IFPSO;IRF Purchase and sale ;Financial markets
IFRAO;FRA'S INVENTORY ;Financial markets
IFRCL;FRA Confirm status log file ;Financial markets
IFRCO;FRA Confirmations Status File ;Financial markets
IFRPL;FRA Payment status log file ;Financial markets
IFRPO;FRA payment status file ;Financial markets
IFTCO;IRF contract tarrifs ;Financial markets
IFTSO;IRF con. tarifs - Tenor spread ;Financial markets
IFXAO;FX Accounting Status File ;Financial markets
IFXCO;Foreign exchange contracts ;Financial markets
IFXPO;FX payment status file ;Financial Markets
IGIRO;General IRS contracts ;Financial markets
IGLDO;General loan/deposit contracts ;Financial Markets
ILDAO;LOANS/DEPOSIT ACC. STAT. FILE ;Financial Markets
ILDPO;LD payment status file ;Financial Markets
ILNGS;Maintain longtext ;Financial Markets
ILPAO;Liquidation parameter ;Financial Markets
IMAGO;Master Agreement per customer ;Financial Markets
INETO;Payment netting ;Financial Markets
INOSO;Nostro file ;Financial Markets
INVMO;Nostro Value Movements ;Financial Markets
IOASO;Ccy Opt Acctg Status file ;Financial Markets
IODUS;Maintain overdue date ;Financial Markets
IOPCO;Ccy Opt Conf Status file ;Financial Markets
IOPPO;Ccy Opt Payment Status file ;Financial Markets
IOPTS;Currency Options Contracts ;Financial Markets
IPIBO;Informations of ICNFO ;Financial Markets
IPIIO;Payment instructions ;Financial Markets
IPMTO;Payment decision table ;Financial Markets
IPTIO;Payment instructions ;Financial Markets
IPWDO;Payment working days ;Financial Markets
IRCVO;Reuters conversations ;Financial markets
IRFRO;REFERENCE RATES OUTPUT ;Financial Markets
IRSAO;IRS accounting status file ;Financial Markets
IRSCO;IRS confirmation status file ;Financial Markets
IRSPO;IRS payment status file ;Financial Markets
ISIFO;Stndard instructions Free txt ;Financial Markets
ISPIO;Standard Payment Instructions ;Financial Markets
ITECO;TECTEL INFO ;Financial Markets
ITIRO;Trailer IRS contracts ;Financial Markets
IWARO;Warning date decision table ;Financial Markets
IWODL;Warning working dayd log file ;Financial Markets
IWODO;Warning working days ;Financial Markets
IWSSO;WSS deal number ;Financial Markets
LBRCS;Brokerage Commissions ;Financial Markets
DCBRO;CBD trans reporting for SEPA ;Financial Reporting
ABA1S;INTERNAL BASE ACCOUNT ;General Ledger
ABKTS;AUTOMATIC BOOKING TABLE ;General ledger
ABUDS;Bufget per Ledger Rubric ;General ledger
ADLGS;Maint Det.Acc.per Ledger Rubr. ;General ledger
ADSNS;P/L Distribution Key Dict. ;General ledger
AFOLO;Folders Directory ;General Ledger
AGEXS;General Expence Rubric Input ;General ledger
AJSTO;Justif. Accounts/inventory ;General Ledger
ALGRS;Ledger Definition ;General ledger
AMDCO;Multiple D/C Folders ;General Ledger
ANEUO;NEUTRALISED ACCOUNTS ;General Ledger
ARBRO;Ledger Rubric Table ;general ledger
ARCDO;RCE's per P/L Distrib. Key ;general ledger
AROTO; ;General Ledger
ASTDO;Statistic Decission Table ;General Ledger
ATRCS;ACCOUNTING TRANS. CONTENTS ;General Ledger
ATRTS;ACCOUNTING EVENT TYPES FILE ;General ledger
LPRFS;Profit Centers ;General Ledger
LRCEO;Respons. Centre Structures ;General Ledger
LRCES;RESPONSIBILITY CENTER ;General Ledger
LSUPS;Suppliers Maintenance ;General Ledger
XFXAS;fixed assets maintenance ;General Ledger
XFXCO;fixed assets categories ;General Ledger
XFXTO;Fixed Assets Trailer ;General Ledger
XGBAO;GEX Balances/Supplier,PMM ;General Ledger
XGBUO;General Expenses Budgets ;General Ledger
XGDCS;General Exp. Document Input ;General Ledger
XGMVO;GEX Movements ;General Ledger
XGPAO;Gen. Exp. Payments structure ;General Ledger
XGPMO;Personnel Member Distribution ;General Ledger
XHVBO;GEX Suppl/PMM Val.Bal.History ;General Ledger
DBATO;BATCH PARAMETERS ;Instruction&Order Management
DDDCO;Direct debit contracts ;Instruction&Order Management
DEBFO;ELECTRONIC BANKING FILES ;Instruction&Order Management
DRSDO;Rejected Swift Messages Detail ;Instruction&Order Management
DRSMO;REJECTED SWIFT MESSAGE ;Instruction&Order Management
CC3PO;Commission 3RD Parties ;Lending
CCBRO;Risk At Close of Business ;Lending
