Type;EntityName;Description;Owner                                                                                                                                                                                  ;;Letter;Length
R;ALACCJUS1;CREATION P/L FLAT FILE JUSTIF.;                              ;                                                                                                                                ;A;9
R;ALACCJUS6;Just. FCM Trans and P&L Accnts;                              ;                                                                                                                                ;A;9
R;ALACCJUS8;JUSTIFICATION FMC P&L + POS E ;                              ;                                                                                                                                ;A;9
R;ALACCJUS9;Just of Forex and IRCS Day Bal;                              ;                                                                                                                                ;A;9
R;ALACCLST;list adets change logs        ;                              ;PKP                                                                                                                             ;A;8
R;ALACPINT;Interim listing of accounts   ;                              ;NEER                                                                                                                            ;A;8
R;ALADBAL;Balances for Alliance Banks   ;                              ;GEJA                                                                                                                            ;A;7
R;ALADLGS;List of ADLGS                 ;                              ;                                                                                                                                ;A;7
R;ALAFRAUT;Advice Frame Audit Trail      ;                              ;                                                                                                                                ;A;8
R;ALAIBRTAB;Print Interbranch Table       ;                              ;                                                                                                                                ;A;9
R;ALANTUS;List Nature Codes - ANTUS     ;                              ;                                                                                                                                ;A;7
R;ALARETAUT;4 eyes                        ;                              ;WP                                                                                                                              ;A;9
R;ALAUBKEBKT;List ABKTS                    ;                              ;                                                                                                                                ;A;10
R;ALAUBKETAB;Autom. Booking Table - Listing;                              ;                                                                                                                                ;A;10
R;ALAUBKETRC;List ATRCS                    ;                              ;                                                                                                                                ;A;10
R;ALAUBKETRT;List ATRTS                    ;                              ;                                                                                                                                ;A;10
R;ALAUDINVCE;Download CSV file for HMRC rep;                              ;AMK                                                                                                                             ;A;10
R;ALBA1AUT;Audit Trail ABA1S             ;                              ;                                                                                                                                ;A;8
R;ALBA1S;Internal Base Account List    ;                              ;                                                                                                                                ;A;6
R;ALBASS;Basic Allocation Table Report ;                              ;                                                                                                                                ;A;6
R;ALBDP001;Central Banling Portugal      ;                              ;WP                                                                                                                              ;A;8
R;ALBILHOF;BIL Batch Creation            ;                              ;                                                                                                                                ;A;8
R;ALBMBHOF;BMB Batch Creation            ;                              ;                                                                                                                                ;A;8
R;ALBOE052;Interest (R/P) per countries  ;                              ;                                                                                                                                ;A;8
R;ALBSH187;Detailed Balance Sheet        ;                              ;                                                                                                                                ;A;8
R;ALBSH188;Detailed Balance Sheet        ;                              ;                                                                                                                                ;A;8
R;ALBSH500;ALESPBSH with different zones ;                              ;                                                                                                                                ;A;8
R;ALBSH600;Balance sht with month D C Mvm;                              ;                                                                                                                                ;A;8
R;ALBSHHOF;Det Balance Sheet Head Office ;                              ;                                                                                                                                ;A;8
R;ALBSHXLS;Download B/S Data as a XL File;                              ;                                                                                                                                ;A;8
R;ALCAUSSTQ;Listing Causale / Statistic   ;                              ;                                                                                                                                ;A;9
R;ALCBI001;Reporting Central Bank Ireland;                              ;                                                                                                                                ;A;8
R;ALCHARGES;List of charges               ;                              ;                                                                                                                                ;A;9
R;ALCHKDEC;For. Ccy ADETS with wrong decs;                              ;                                                                                                                                ;A;8
R;ALCNDCUSSM;Customer condition summary    ;                              ;NEER                                                                                                                            ;A;10
R;ALCNVCLSAC;List Converted/Closed Accounts;                              ;                                                                                                                                ;A;10
R;ALCONDCUST;x                             ;                              ;RUPA                                                                                                                            ;A;10
R;ALCPLBAL;Download of Ledger Balance Ent;                              ;                                                                                                                                ;A;8
R;ALCRYMONIT;High Risk Country             ;                              ;                                                                                                                                ;A;10
R;ALCUSBAL;Prt/Dll Upd Cust Ledg Bal&Ctv ;                              ;                                                                                                                                ;A;8
R;ALCUSTMIL;Customer Listing              ;                              ;                                                                                                                                ;A;9
R;ALDETAUT;Detailed Account Audit Trail  ;                              ;                                                                                                                                ;A;8
R;ALDETBSC;Detailed Balance Sheet        ;                              ;                                                                                                                                ;A;8
R;ALDETBSH;Detailed Balance Sheet        ;                              ;                                                                                                                                ;A;8
R;ALDETHOF;List ADETS                    ;                              ;                                                                                                                                ;A;8
R;ALDETPOL;Monthly Detailed P/L Report   ;                              ;                                                                                                                                ;A;8
R;ALDLAVGBAL;extract average balance as CSV;                              ;SUMI                                                                                                                            ;A;10
R;ALDLBSHRCN;Balance sheet reconciliation  ;Acounting                     ;WP                                                                                                                              ;A;10
R;ALDLCBITAC;CBI Accounts Download         ;                              ;GSA                                                                                                                             ;A;10
R;ALDLCBITCS;CBI Customer Download         ;                              ;JT                                                                                                                              ;A;10
R;ALDLCBITLC;CBI Limits&Collateral Download;                              ;PBL                                                                                                                             ;A;10
R;ALDLCBITMV;CBI Movements Download        ;                              ;GSA                                                                                                                             ;A;10
R;ALDLCBRCTP;download customer info AUSTRIA;                              ;LOJ                                                                                                                             ;A;10
R;ALDLCBRPT;Download CBR Portugal         ;Reporting                     ;WP                                                                                                                              ;A;9
R;ALDLCTPSIS;Download LCTPS to SIS         ;                              ;                                                                                                                                ;A;10
R;ALDLCUSBAL;Download to PC - CUSBAL       ;                              ;JT                                                                                                                              ;A;10
R;ALDLL372NY;CBN & Int.Acc. DLL to pc-flat ;                              ;                                                                                                                                ;A;10
R;ALDLLABA1S;Int. Base Accts. Download PC  ;                              ;                                                                                                                                ;A;10
R;ALDLLACCR;download accruals             ;                              ;GSA                                                                                                                             ;A;9
R;ALDLLADETS;Download to PC - ADETS        ;                              ;                                                                                                                                ;A;10
R;ALDLLATLAS;Download for Atlas SIN        ;                              ;                                                                                                                                ;A;10
R;ALDLLAWV;AWV download                  ;                              ;NEER                                                                                                                            ;A;8
R;ALDLLBALBV;Value Bal/back value download ;                              ;JT                                                                                                                              ;A;10
R;ALDLLBOS;Create BOS - files (ABACUS)   ;                              ;                                                                                                                                ;A;8
R;ALDLLCBRAT;Central Bank Reporting Downloa;                              ;RIG                                                                                                                             ;A;10
R;ALDLLCBRGE;central bank reporting GE     ;                              ;GSA                                                                                                                             ;A;10
R;ALDLLCCRCN;x                             ;                              ;GSA                                                                                                                             ;A;10
R;ALDLLCPCA;customer profitablilty        ;                              ;WP                                                                                                                              ;A;9
R;ALDLLCRSGE;download for CRS              ;                              ;GSA                                                                                                                             ;A;10
